doi,title,type,publisher
10.11647/obp.0016,"Cicero, Against Verres, 2.1.53–86. Latin Text with Introduction, Study Questions, Commentary and English Translation",monograph,Open Book Publishers
10.11647/obp.0023,"Virgil, Aeneid, 4.1–299. Latin Text, Study Questions, Commentary and Interpretative Essay",book,Open Book Publishers
10.11647/obp.0035,"Tacitus, Annals, 15.20–23, 33–45",book,Open Book Publishers
10.11647/obp.0045,"Cicero, On Pompey’s Command (De Imperio), 27–49",book,Open Book Publishers
10.11647/obp.0001,That Greece Might Still Be Free: The Philhellenes in the War of Independence,monograph,Open Book Publisher
10.11647/obp.0002,The Altering Eye: Contemporary International Cinema,monograph,Open Book Publishers
10.11647/obp.0003,"Brownshirt Princess: A Study of the ""Nazi Conscience""",monograph,Open Book Publishers
10.11647/obp.0004,Telling Tales: The Impact of Germany on English Children's Books 1780-1918,monograph,Open Book Publishers
10.11647/obp.0005,Coleridge's Laws: A Study of Coleridge in Malta,monograph,Open Book Publishers
10.11647/obp.0006,Les Bienveillantes de Jonathan Littell: Études réunies par Murielle Lucie Clément,book,Open Book Publishers
10.11647/obp.0007,Privilege and Property: Essays on the History of Copyright,book,Open Book Publishers
10.11647/obp.0009,The Sword of Judith: Judith Studies Across the Disciplines,book,Open Book Publishers
10.11647/obp.0008,"Text and Genre in Reconstruction: Effects of Digitalization on Ideas, Behaviours, Products and Institutions",book,Open Book Publishers
10.11647/obp.0010,The End and the Beginning. The Book of My Life,monograph,Open Book Publishers
10.11647/obp.0011,The Theatre of Shelley,monograph,Open Book Publishers
10.11647/obp.0012,Why Do We Quote? The Culture and History of Quotation,monograph,Open Book Publishers
10.11647/obp.0013,Henry James's Europe: Heritage and Transfer,book,Open Book Publishers
10.11647/obp.0014,Peace and Democratic Society,book,Open Book Publishers
10.11647/obp.0015,The End of the World: Apocalypse and its Aftermath in Western Culture,monograph,Open Book Publishers
10.11647/obp.0027,Bourdieu and Literature,monograph,Open Book Publishers
10.11647/obp.0017,Letters of Blood and Other Works in English,book,Open Book Publishers
10.11647/obp.0018,Women in Nineteenth-Century Russia: Lives and Culture,book,Open Book Publishers
10.11647/obp.0019,The Digital Public Domain: Foundations for an Open Culture,book,Open Book Publishers
10.11647/obp.0020,Economic Fables,monograph,Open Book Publishers
10.11647/obp.0021,Is Behavioral Economics Doomed?: The Ordinary versus the Extraordinary,monograph,Open Book Publishers
10.11647/obp.0025,Oral Literature in Africa,monograph,Open Book Publishers
10.11647/obp.0026,"Frontier Encounters: Knowledge and Practice at the Russian, Chinese and Mongolian Border",book,Open Book Publishers
10.11647/obp.0022,A People Passing Rude: British Responses to Russian Culture,book,Open Book Publishers
10.11647/obp.0024,"Digital Humanities Pedagogy: Practices, Principles and Politics",book,Open Book Publishers
10.11647/obp.0028,Yeats Annual No. 18,book,Open Book Publishers
10.11647/obp.0030,The Passion of Max von Oppenheim: Archaeology and Intrigue in the Middle East from Wilhelm II to Hitler,monograph,Open Book Publishers
10.11647/obp.0029,Foundations for Moral Relativism,monograph,Open Book Publishers
10.11647/obp.0032,Oral Literature in the Digital Age: Archiving Orality and Connecting with Communities,book,Open Book Publishers
10.11647/obp.0033,"Storytelling in Northern Zambia: Theory, Method, Practice and Other Necessary Fictions",monograph,Open Book Publishers
10.11647/obp.0031,Feeding the City: Work and Food Culture of the Mumbai Dabbawalas,monograph,Open Book Publishers
10.11647/obp.0036,"On History: Introduction to World History (1831); Opening Address at the Faculty of Letters, 9 January 1834; Preface to History of France(1869)",book,Open Book Publishers
10.11647/obp.0034,How to Read a Folktale: The 'Ibonia' Epic from Madagascar,monograph,Open Book Publishers
10.11647/obp.0038,Yeats's Mask: Yeats Annual No. 19,book,Open Book Publishers
10.11647/obp.0037,Xiipúktan (First of All): Three Accounts of the Origins of the Quechan People,monograph,Open Book Publishers
10.11647/obp.0039,"The Classic Short Story, 1870-1925: Theory of a Genre",monograph,Open Book Publishers
10.11647/obp.0040,Beyond Holy Russia: The Life and Times of Stephen Graham,monograph,Open Book Publishers
10.11647/obp.0041,The Anglo-Scottish Ballad and its Imaginary Contexts,monograph,Open Book Publishers
